clientId,userId,loginName,accountNumber,accountId,entitlements,maxTranAmount,maxDailyCumlativeLimit,clientTransactionLimit,clientDailyLimit,ctv1,ctv2,ctv3,ctv4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5167510,1472708,danielfox,20127596,53597706,"VIEW_PAYMENT_FPS,CREATE_PAYMENT_FPS",200,2000,500,5000,"Susan,6508679351","Liam,7710854675","Mark,7079532210","Dtee,4159523833",,,,,,Hybrid,cube1975,,,,,,,,,,,5167510,1472708,,,,,,,,,onlinebankinguat@uat.svbank.com,1,Enabled,"Nishikant-4697400211, David D-6509061473, Marie Cell-5082410146, Drew Cell-7964969064, Tom Mobile-4155184797, Tom Mobile-4156948686, Vi-6026420060"
5167510,1473036,MARKHOOTON,20127596,53597706,"VIEW_PAYMENT_FPS,CREATE_PAYMENT_FPS",200,2000,500,5000,"Susan,6508679351","Liam,7710854675","Mark,7079532210","Dtee,4159523833",,,,,,Hybrid,cube1975,,,,,,,,,,,,,,,,,,,,,,,,
5030870,1100798,kham,20100167,2102897,"VIEW_PAYMENT_FPS,CREATE_PAYMENT_FPS",200,2000,500,5000,"Susan,6508679351","Liam,7710854675","Mark,7079532210","Dtee,4159523833",,,,,,Hybrid,ckve3842,,,,,,,,,,,,,,,,,,,,,,,,
5030870,1100798,kham,20100175,2102896,"VIEW_PAYMENT_FPS,CREATE_PAYMENT_FPS",200,2000,500,5000,"Susan,6508679351","Liam,7710854675","Mark,7079532210","Dtee,4159523833",,,,,,Hybrid,ckve3843,,,,,,,,,,,,,,,,,,,,,,,,
5030870,1100798,kham,20133790,81325842,"VIEW_PAYMENT_FPS,CREATE_PAYMENT_FPS",200,2000,500,5000,"Susan,6508679351","Liam,7710854675","Mark,7079532210","Dtee,4159523833",,,,,,Hybrid,ckve3844,,,,,,,,,,,,,,,,,,,,,,,,
5030870,1142212,chris555,20100167,2102897,"VIEW_PAYMENT_FPS,CREATE_PAYMENT_FPS",200,2000,500,5000,"Susan,6508679351","Liam,7710854675","Mark,7079532210","Dtee,4159523833",,,,,,Hybrid,ckve3845,,,,,,,,,,,,,,,,,,,,,,,,
5030870,1142212,chris555,20100175,2102896,"VIEW_PAYMENT_FPS,CREATE_PAYMENT_FPS",200,2000,500,5000,"Susan,6508679351","Liam,7710854675","Mark,7079532210","Dtee,4159523833",,,,,,Hybrid,ckve3846,,,,,,,,,,,,,,,,,,,,,,,,
5030870,1142212,chris555,20133790,81325842,"VIEW_PAYMENT_FPS,CREATE_PAYMENT_FPS",200,2000,500,5000,"Susan,6508679351","Liam,7710854675","Mark,7079532210","Dtee,4159523833",,,,,,Hybrid,ckve3847,,,,,,,,,,,,,,,,,,,,,,,,
5030870,1101463,eklee,20100167,2102897,"VIEW_PAYMENT_FPS,CREATE_PAYMENT_FPS",200,2000,500,5000,"Susan,6508679351","Liam,7710854675","Mark,7079532210","Dtee,4159523833",,,,,,Hybrid,ckve3848,,,,,,,,,,,,,,,,,,,,,,,,
5030870,1101463,eklee,20100175,2102896,"VIEW_PAYMENT_FPS,CREATE_PAYMENT_FPS",200,2000,500,5000,"Susan,6508679351","Liam,7710854675","Mark,7079532210","Dtee,4159523833",,,,,,Hybrid,ckve3849,,,,,,,,,,,,,,,,,,,,,,,,
5030870,1101463,eklee,20133790,81325842,"VIEW_PAYMENT_FPS,CREATE_PAYMENT_FPS",200,2000,500,5000,"Susan,6508679351","Liam,7710854675","Mark,7079532210","Dtee,4159523833",,,,,,Hybrid,ckve3850,,,,,,,,,,,,,,,,,,,,,,,,
5030870,1142226,julie55,20100167,2102897,"VIEW_PAYMENT_FPS,CREATE_PAYMENT_FPS",200,2000,500,5000,"Susan,6508679351","Liam,7710854675","Mark,7079532210","Dtee,4159523833",,,,,,Hybrid,ckve3851,,,,,,,,,,,,,,,,,,,,,,,,
5030870,1142226,julie55,20100175,2102896,"VIEW_PAYMENT_FPS,CREATE_PAYMENT_FPS",200,2000,500,5000,"Susan,6508679351","Liam,7710854675","Mark,7079532210","Dtee,4159523833",,,,,,Hybrid,ckve3852,,,,,,,,,,,,,,,,,,,,,,,,
5030870,1142226,julie55,20133790,81325842,"VIEW_PAYMENT_FPS,CREATE_PAYMENT_FPS",200,2000,500,5000,"Susan,6508679351","Liam,7710854675","Mark,7079532210","Dtee,4159523833",,,,,,Hybrid,ckve3853,,,,,,,,,,,,,,,,,,,,,,,,
5030870,1101460,KMILLAR,20100167,2102897,"VIEW_PAYMENT_FPS,CREATE_PAYMENT_FPS",200,2000,500,5000,"Susan,6508679351","Liam,7710854675","Mark,7079532210","Dtee,4159523833",,,,,,Hybrid,ckve3854,,,,,,,,,,,,,,,,,,,,,,,,
5030870,1101460,KMILLAR,20100175,2102896,"VIEW_PAYMENT_FPS,CREATE_PAYMENT_FPS",200,2000,500,5000,"Susan,6508679351","Liam,7710854675","Mark,7079532210","Dtee,4159523833",,,,,,Hybrid,ckve3855,,,,,,,,,,,,,,,,,,,,,,,,
5030870,1101460,KMILLAR,20133790,81325842,"VIEW_PAYMENT_FPS,CREATE_PAYMENT_FPS",200,2000,500,5000,"Susan,6508679351","Liam,7710854675","Mark,7079532210","Dtee,4159523834",,,,,,Hybrid,ckve3856,,,,,,,,,,,,,,,,,,,,,,,,
5030870,1496805,cloneuser001,20100167,2102897,"VIEW_PAYMENT_FPS,CREATE_PAYMENT_FPS",200,2000,500,5000,"Susan,6508679351","Liam,7710854675","Mark,7079532210","Dtee,4159523833",,,,,,Hybrid,ckve3857,,,,,,,,,,,,,,,,,,,,,,,,
5030870,1496805,cloneuser001,20100175,2102896,"VIEW_PAYMENT_FPS,CREATE_PAYMENT_FPS",200,2000,500,5000,"Susan,6508679351","Liam,7710854675","Mark,7079532210","Dtee,4159523833",,,,,,Hybrid,ckve3858,,,,,,,,,,,,,,,,,,,,,,,,
5030870,1496805,cloneuser001,20133790,81325842,"VIEW_PAYMENT_FPS,CREATE_PAYMENT_FPS",200,2000,500,5000,"Susan,6508679351","Liam,7710854675","Mark,7079532210","Dtee,4159523833",,,,,,Hybrid,ckve3859,,,,,,,,,,,,,,,,,,,,,,,,
5030870,1496806,adduser001,20100167,2102897,"VIEW_PAYMENT_FPS,CREATE_PAYMENT_FPS",200,2000,500,5000,"Susan,6508679351","Liam,7710854675","Mark,7079532210","Dtee,4159523833",,,,,,Hybrid,ckve3860,,,,,,,,,,,,,,,,,,,,,,,,
5030870,1496806,adduser001,20100175,2102896,"VIEW_PAYMENT_FPS,CREATE_PAYMENT_FPS",200,2000,500,5000,"Susan,6508679351","Liam,7710854675","Mark,7079532210","Dtee,4159523833",,,,,,Hybrid,ckve3861,,,,,,,,,,,,,,,,,,,,,,,,
5030870,1496806,adduser001,20133790,81325842,"VIEW_PAYMENT_FPS,CREATE_PAYMENT_FPS",200,2000,500,5000,"Susan,6508679351","Liam,7710854675","Mark,7079532210","Dtee,4159523833",,,,,,Hybrid,ckve3862,,,,,,,,,,,,,,,,,,,,,,,,
5107936,1276339,paulsulyok,20104448,6665576,CREATE_PAYMENT_FPS,200,2000,500,5000,"Susan,6508679351","Liam,7710854675","Mark,7079532210","Dtee,4159523833",,,,,,Hybrid,gree5950,,,,,,,,,,,,,,,,,,,,,,,,
5107936,1276339,paulsulyok,20104472,6665767,CREATE_PAYMENT_FPS,200,2000,500,5000,"Susan,6508679351","Liam,7710854675","Mark,7079532210","Dtee,4159523833",,,,,,Hybrid,gree5950,,,,,,,,,,,,,,,,,,,,,,,,
5107936,1276339,paulsulyok,20125054,47820939,CREATE_PAYMENT_FPS,200,2000,500,5000,"Susan,6508679351","Liam,7710854675","Mark,7079532210","Dtee,4159523833",,,,,,Hybrid,gree5950,,,,,,,,,,,,,,,,,,,,,,,,
