clientId,userId,loginName,accountNumber,accountId,entitlements,maxTranAmount,maxDailyCumlativeLimit,clientTransactionLimit,clientDailyLimit,ctv1,ctv2,ctv3,ctv4
5133616,1352546,agarwalt,20110219,15241255,"VIEW_PAYMENT_FPS,CREATE_PAYMENT_FPS",200,2000,500,5000,"Susan,6508679351","Liam,7710854675","Mark,7079532210","Dtee,4159523833"
5133616,1352547,watsontom100,20110219,15241255,"VIEW_PAYMENT_FPS,CREATE_PAYMENT_FPS",200,2000,500,5000,"Susan,6508679351","Liam,7710854675","Mark,7079532210","Dtee,4159523834"
5133616,1352546,agarwalt,20130880,81324651,"VIEW_PAYMENT_FPS,CREATE_PAYMENT_FPS",200,2000,500,5000,"Susan,6508679351","Liam,7710854675","Mark,7079532210","Dtee,4159523835"
5133616,1352547,watsontom100,20130880,81324651,"VIEW_PAYMENT_FPS,CREATE_PAYMENT_FPS",200,2000,500,5000,"Susan,6508679351","Liam,7710854675","Mark,7079532210","Dtee,4159523836"
5146656,1398885,b12wny,20114311,22767311,"CREATE_PAYMENT_FPS,VIEW_PAYMENT_FPS",200,2000,500,5000,"Susan,6508679351","Liam,7710854675","Mark,7079532210","Dtee,4159523837"
5146656,1398886,skignz,20114311,22767311,"CREATE_PAYMENT_FPS,VIEW_PAYMENT_FPS",200,2000,500,5000,"Susan,6508679351","Liam,7710854675","Mark,7079532210","Dtee,4159523838"
5146656,1398885,b12wny,20114354,22767313,"VIEW_PAYMENT_FPS,CREATE_PAYMENT_FPS",200,2000,500,5000,"Susan,6508679351","Liam,7710854675","Mark,7079532210","Dtee,4159523839"
5146656,1398886,skignz,20114354,22767313,"VIEW_PAYMENT_FPS,CREATE_PAYMENT_FPS",200,2000,500,5000,"Susan,6508679351","Liam,7710854675","Mark,7079532210","Dtee,4159523840"
5146656,1398885,b12wny,20142064,81431615,CREATE_PAYMENT_FPS,200,2000,500,5000,"Susan,6508679351","Liam,7710854675","Mark,7079532210","Dtee,4159523841"
5146656,1398886,skignz,20142064,81431615,"VIEW_PAYMENT_FPS,CREATE_PAYMENT_FPS",200,2000,500,5000,"Susan,6508679351","Liam,7710854675","Mark,7079532210","Dtee,4159523842"
5146656,1398885,b12wny,20109695,13839237,"VIEW_PAYMENT_FPS,CREATE_PAYMENT_FPS",200,2000,500,5000,"Susan,6508679351","Liam,7710854675","Mark,7079532210","Dtee,4159523843"
5146656,1398886,skignz,20109695,13839237,VIEW_PAYMENT_FPS,200,2000,500,5000,"Susan,6508679351","Liam,7710854675","Mark,7079532210","Dtee,4159523844"
5161377,1459394,archanaagrawal,20120885,37435644,"CREATE_PAYMENT_FPS,VIEW_PAYMENT_FPS",200,2000,500,5000,"Susan,6508679351","Liam,7710854675","Mark,7079532210","Dtee,4159523845"
5161377,1459394,archanaagrawal,20120915,37435645,"CREATE_PAYMENT_FPS,VIEW_PAYMENT_FPS",200,2000,500,5000,"Susan,6508679351","Liam,7710854675","Mark,7079532210","Dtee,4159523846"
5161377,1454730,JimThompson,20120885,37435644,CREATE_PAYMENT_FPS,200,2000,500,5000,"Susan,6508679351","Liam,7710854675","Mark,7079532210","Dtee,4159523847"
5161377,1454730,JimThompson,20120915,37435645,VIEW_PAYMENT_FPS,200,2000,500,5000,"Susan,6508679351","Liam,7710854675","Mark,7079532210","Dtee,4159523848"
5161377,1489047,hankbowman,20120885,37435644,VIEW_PAYMENT_FPS,200,2000,500,5000,"Susan,6508679351","Liam,7710854675","Mark,7079532210","Dtee,4159523849"
5104176,1267380,justinduedil,20103689,5689361,"CREATE_PAYMENT_FPS,VIEW_PAYMENT_FPS",200,2000,500,5000,"Susan,6508679351","Liam,7710854675","Mark,7079532210","Dtee,4159523850"
5104176,1267380,justinduedil,20105517,7501929,"CREATE_PAYMENT_FPS,VIEW_PAYMENT_FPS",200,2000,500,5000,"Susan,6508679351","Liam,7710854675","Mark,7079532210","Dtee,4159523851"
